orig_path,label,index,ImagePath
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/b4bbacef-a704-43ae-b7f3-9d5d8ac03c0e.jpg,dyed-lifted-polyps,3,00051.jpg
Kvasir v2/esophagitis/esophagitis/64f6b6f9-5256-432a-a101-383be6b0957e.jpg,esophagitis,7,00052.jpg
Kvasir v2/esophagitis/esophagitis/7eb71d1d-2b70-47dd-b025-91fad0ff4a41.jpg,esophagitis,7,00053.jpg
Kvasir v2/normal/normal/cbc40531-2d9b-4861-a6ea-e8262db2a9ad.jpg,normal,8,00054.jpg
Kvasir v2/normal/normal/dd2169cb-7206-4dc3-b7ad-6c09cc40b299.jpg,normal,8,00055.jpg
Kvasir v2/normal-pylorus/normal-pylorus/e6e288b6-22b9-4592-8f00-28dba8df2212.jpg,normal-pylorus,6,00056.jpg
Kvasir v2/esophagitis/esophagitis/e4971943-0a6c-4da7-a92d-3c4af5cce133.jpg,esophagitis,7,00057.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/c32104d1-ee93-436a-90ae-81015bec305f.jpg,dyed-lifted-polyps,3,00058.jpg
Kvasir v2/polyps/polyps/84eb57a9-d8a2-42ed-858d-a20938149a12.jpg,polyps,2,00059.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/cfa1c808-d5f5-4907-8030-53d3597880a9.jpg,ulcerative-colitis,4,00060.jpg
Kvasir v2/normal/normal/17adc423-a346-481f-89d0-04d207decb8c.jpg,normal,8,00061.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/bcf701be-4f72-423c-a3e1-fb440a4e95bf.jpg,ulcerative-colitis,4,00062.jpg
Kvasir v2/esophagitis/esophagitis/fc16618d-0b01-4351-98f4-8d1c3e7a9d82.jpg,esophagitis,7,00063.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/cf8e62d8-bd23-4f26-b94b-93281e8223ce.jpg,dyed-lifted-polyps,3,00064.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/52f17c03-5377-4c53-b0f1-5b29865622f0.jpg,dyed-resection-margins,5,00065.jpg
Kvasir v2/esophagitis/esophagitis/a2821de3-5091-40d3-a107-bdc741a31e5f.jpg,esophagitis,7,00066.jpg
Kvasir v2/normal-pylorus/normal-pylorus/dc59b993-65ee-485d-bbcd-5b33734f2799.jpg,normal-pylorus,6,00067.jpg
Kvasir v2/esophagitis/esophagitis/e906ac31-e25a-461a-8577-05676ddc1583.jpg,esophagitis,7,00068.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/9a946b68-5854-404c-b74f-84585ea40a5c.jpg,ulcerative-colitis,4,00069.jpg
Kvasir v2/normal-cecum/normal-cecum/4461f03b-cd75-4b2f-8634-b90d0b61c829.jpg,normal-cecum,1,00070.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/10d78f91-9f3c-42c4-bca3-a8f8c91fccd7.jpg,dyed-lifted-polyps,3,00071.jpg
Kvasir v2/normal-cecum/normal-cecum/261139a2-2e5a-4309-bd3b-1d3bcd8b95ed.jpg,normal-cecum,1,00072.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/b22566fa-4bc3-4b01-8eac-389baee261f0.jpg,dyed-lifted-polyps,3,00073.jpg
Kvasir v2/normal-pylorus/normal-pylorus/dfc00ba0-40d2-42b0-9ac2-3ea974a5e20e.jpg,normal-pylorus,6,00074.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/72bd5709-0207-4368-a4d9-73f3989a9401.jpg,dyed-lifted-polyps,3,00075.jpg
Kvasir v2/normal-pylorus/normal-pylorus/e6b46bd2-f06b-48e1-8256-186c02d6b75c.jpg,normal-pylorus,6,00076.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/d7effef0-b868-4644-a68a-a98772a467c5.jpg,ulcerative-colitis,4,00077.jpg
Kvasir v2/normal/normal/ebac49f5-566a-40de-b50a-c8fe6d2b57f7.jpg,normal,8,00078.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/fc79c489-b358-4368-b965-330615af73d4_00000252.jpg,ulcerative-colitis,4,00079.jpg
Kvasir v2/normal-cecum/normal-cecum/237e3097-3c7a-4292-a982-fe5c045ebda9.jpg,normal-cecum,1,00080.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/570bd6dd-2e70-4725-9fa0-da78d086b304.jpg,ulcerative-colitis,4,00081.jpg
Kvasir v2/normal/normal/7c7877d8-c9f3-4490-924e-0338fe1560fe.jpg,normal,8,00082.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/0f373f61-d7d5-4e6b-b6a4-ff5ba33ba62b.jpg,dyed-lifted-polyps,3,00083.jpg
Kvasir v2/esophagitis/esophagitis/4cb4a942-9bff-4ac5-86e5-03979ce0d4b1.jpg,esophagitis,7,00084.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/a5407664-0edc-40d8-8734-47776eb8ec74.jpg,dyed-lifted-polyps,3,00085.jpg
Kvasir v2/normal-pylorus/normal-pylorus/8fc67f55-ecbf-43e4-878e-60f3b7edd596.jpg,normal-pylorus,6,00086.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/62813fd3-5861-48cf-b686-a2de5ec6833c.jpg,dyed-lifted-polyps,3,00087.jpg
Kvasir v2/normal-pylorus/normal-pylorus/6bd0ae13-99c7-436a-8b20-16eadf56f54c.jpg,normal-pylorus,6,00088.jpg
Kvasir v2/esophagitis/esophagitis/ee5f9ff8-ada6-43e9-86eb-d829d1a0a835.jpg,esophagitis,7,00089.jpg
Kvasir v2/normal-pylorus/normal-pylorus/e1c6f789-06c0-4580-99de-a76d9cdadc03.jpg,normal-pylorus,6,00090.jpg
Kvasir v2/normal-cecum/normal-cecum/11a44c34-e98d-46f4-a516-dd65d672da74.jpg,normal-cecum,1,00091.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/5055bdd3-900b-4eaa-be08-bc13c9dda6c0.jpg,dyed-resection-margins,5,00092.jpg
Kvasir v2/polyps/polyps/d01b5a65-384d-44eb-bd34-25a600c2fbd7.jpg,polyps,2,00093.jpg
Kvasir v2/esophagitis/esophagitis/6e105a54-7716-4217-9acc-b445b2989a19.jpg,esophagitis,7,00094.jpg
Kvasir v2/normal-cecum/normal-cecum/626df11e-5f60-4f52-a2e4-3baecdfa792d.jpg,normal-cecum,1,00095.jpg
Kvasir v2/polyps/polyps/926aaf7a-0d98-4209-9b93-9de7b9d2ee54.jpg,polyps,2,00096.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/0ad65fea-9e8e-4410-a943-dbb6b94107b1.jpg,dyed-lifted-polyps,3,00097.jpg
Kvasir v2/esophagitis/esophagitis/264172e2-8bd6-4936-af67-b2485be754d8.jpg,esophagitis,7,00098.jpg
Kvasir v2/normal/normal/81744c39-a511-47c0-9114-ba1e17e9be97.jpg,normal,8,00099.jpg
Kvasir v2/esophagitis/esophagitis/7bc9e345-b607-4538-b084-d54a3d9ea152.jpg,esophagitis,7,00100.jpg
Kvasir v2/normal/normal/9806fca4-82dd-4d07-803b-6935ea5c1e58.jpg,normal,8,00101.jpg
Kvasir v2/normal-pylorus/normal-pylorus/16f6cf2d-111f-4ff3-978e-3f05f8762bf8.jpg,normal-pylorus,6,00102.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/d5ce3374-de3c-49e5-9ca7-284f4306a35f.jpg,dyed-resection-margins,5,00103.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/d05e2037-9c4c-4dc6-8203-edd176ef1a7b.jpg,dyed-lifted-polyps,3,00104.jpg
Kvasir v2/normal/normal/deb0348d-a17d-4be8-9754-7606fab35b53.jpg,normal,8,00105.jpg
Kvasir v2/esophagitis/esophagitis/2f36e72b-e789-4649-9054-fda57ed295d7.jpg,esophagitis,7,00106.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/0b362508-bb19-4121-8446-33e8b2487279.jpg,ulcerative-colitis,4,00107.jpg
Kvasir v2/normal/normal/b52546e0-266b-4347-9cd2-fbfdc10e5ac2.jpg,normal,8,00108.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/e6c793fe-0e40-4597-87b5-d9733cbaf3de.jpg,dyed-lifted-polyps,3,00109.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/178e02dd-caa9-4e56-9ca4-503a3c0025dc.jpg,ulcerative-colitis,4,00110.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/a9dce28d-9b7a-4037-a2e1-8624d27ccbc2.jpg,dyed-resection-margins,5,00111.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/cde932d8-dd60-4857-a5cf-bdbe274beb87.jpg,dyed-lifted-polyps,3,00112.jpg
Kvasir v2/normal-pylorus/normal-pylorus/a208c7fb-eae1-4709-b6ca-2854f466f909.jpg,normal-pylorus,6,00113.jpg
Kvasir v2/esophagitis/esophagitis/b82ba7d5-35cd-4137-ac9b-2ca5cc45749a.jpg,esophagitis,7,00114.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/d64c1af9-12c0-4959-ac3f-afcdc965ffdc.jpg,dyed-resection-margins,5,00115.jpg
Kvasir v2/normal-cecum/normal-cecum/fede7891-cefc-4247-a9a8-cf26fbe90d6f.jpg,normal-cecum,1,00116.jpg
Kvasir v2/normal-pylorus/normal-pylorus/69fa83d8-1618-4390-b4fb-bd97e94cae89.jpg,normal-pylorus,6,00117.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/b42f5ed4-0762-49dd-baa1-20d2ccbd5307.jpg,ulcerative-colitis,4,00118.jpg
Kvasir v2/polyps/polyps/102eb625-1f1c-4a63-9e57-4baeb5f0fbaa.jpg,polyps,2,00119.jpg
Kvasir v2/polyps/polyps/25b7d6bd-792d-4e1f-bfb0-67ffec4f3ab6.jpg,polyps,2,00120.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/3b1c7efd-ca13-4b6b-be4b-007e5d6286a1.jpg,dyed-resection-margins,5,00121.jpg
Kvasir v2/normal-cecum/normal-cecum/156c45ad-dd1a-450c-aec2-f7c90b3ed98a.jpg,normal-cecum,1,00122.jpg
Kvasir v2/esophagitis/esophagitis/335eb24f-4107-488b-92d8-b797199d2306.jpg,esophagitis,7,00123.jpg
Kvasir v2/normal-pylorus/normal-pylorus/e3a0e13c-1373-4e98-b410-536369fe9736.jpg,normal-pylorus,6,00124.jpg
Kvasir v2/normal-pylorus/normal-pylorus/fc7a12c8-250d-4568-83be-d878dae07b4f.jpg,normal-pylorus,6,00125.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/007d5aa7-7289-4bad-aa4a-5c3a259e9b19.jpg,dyed-lifted-polyps,3,00126.jpg
Kvasir v2/normal/normal/bd8bbccc-2e2b-42a7-9fd4-312426d53f16.jpg,normal,8,00127.jpg
Kvasir v2/normal-cecum/normal-cecum/4982f08b-975e-4570-8674-eeed7dca5f05.jpg,normal-cecum,1,00128.jpg
Kvasir v2/normal/normal/c87dd1ae-d0cb-4e39-8b1b-5c586bd5a7f0.jpg,normal,8,00129.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/eca0b6fa-eb99-44eb-b529-113131605072.jpg,dyed-resection-margins,5,00130.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/5832f712-73e0-4e05-ba9c-7f8791378f07.jpg,dyed-lifted-polyps,3,00131.jpg
Kvasir v2/normal/normal/a7bd2163-31a9-4f10-9799-22c992dabff4.jpg,normal,8,00132.jpg
Kvasir v2/normal-pylorus/normal-pylorus/d897ac36-055d-45d3-b1be-7b6ba93184c1.jpg,normal-pylorus,6,00133.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/103356bd-2bbb-4810-8791-325633f58d40.jpg,dyed-resection-margins,5,00134.jpg
Kvasir v2/normal-cecum/normal-cecum/30df141c-0b98-456a-b832-596221b4a0c5.jpg,normal-cecum,1,00135.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/5b65de74-5c5e-4dbf-8ced-6bbea196abc9.jpg,dyed-resection-margins,5,00136.jpg
Kvasir v2/esophagitis/esophagitis/3ad02972-62f0-4163-bb40-2064a11675e6.jpg,esophagitis,7,00137.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/80c6f79a-c028-4cfa-ab9f-2c6a93a9042c.jpg,dyed-resection-margins,5,00138.jpg
Kvasir v2/normal/normal/b0335162-87d9-47ea-bbf6-acd1bffbda65.jpg,normal,8,00139.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/ad5a6fc0-3382-496f-9e6a-e7c909dd4f57.jpg,dyed-resection-margins,5,00140.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/00a436bc-67ee-4a43-b1a7-25130a2d4e72.jpg,ulcerative-colitis,4,00141.jpg
Kvasir v2/esophagitis/esophagitis/ada7de2d-de8b-4616-a33d-e0a03c6af9e5.jpg,esophagitis,7,00142.jpg
Kvasir v2/normal-cecum/normal-cecum/e0fe569d-cc8d-4871-88d0-5477f4aa6e66.jpg,normal-cecum,1,00143.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/a771d780-1bea-420c-a225-3d1f525b1cd1.jpg,ulcerative-colitis,4,00144.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/7bc017e9-b8d5-4bdb-9503-3f1bcbd9da7f.jpg,ulcerative-colitis,4,00145.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/07b354f4-412e-4fb3-95aa-75b7409ce334.jpg,dyed-lifted-polyps,3,00146.jpg
Kvasir v2/normal-cecum/normal-cecum/d68aa2ce-0929-4cad-9845-1e4046cee3ff.jpg,normal-cecum,1,00147.jpg
Kvasir v2/normal-cecum/normal-cecum/2cfafe68-7e08-4e01-8e96-0421dadc3e37.jpg,normal-cecum,1,00148.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/195f99c7-bd05-4189-86f3-89480d1d3913.jpg,dyed-lifted-polyps,3,00149.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/71172ad8-d608-446b-bb4b-89a5cf186209.jpg,ulcerative-colitis,4,00150.jpg
Kvasir v2/esophagitis/esophagitis/d878ffa8-5e47-4364-aa84-50b3bac2c791.jpg,esophagitis,7,00151.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/c975da7b-0089-43e1-9ca1-f9680ec1f81f.jpg,dyed-lifted-polyps,3,00152.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/aea245d6-2b16-43f7-b0c9-c5df9594fb75.jpg,ulcerative-colitis,4,00153.jpg
Kvasir v2/polyps/polyps/a20e3b84-8405-48c4-9a0b-9bd116a87888.jpg,polyps,2,00154.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/60d47817-2a44-49e4-ad6a-a85413b5089f.jpg,ulcerative-colitis,4,00155.jpg
Kvasir v2/esophagitis/esophagitis/57e9d9d3-cdff-443a-9c70-26b273d78523.jpg,esophagitis,7,00156.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/9725d9e1-e677-4dbc-b919-840af1e5e36f.jpg,dyed-resection-margins,5,00157.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/fbf7ab31-bd59-4185-9523-27e38ae1aa14.jpg,dyed-resection-margins,5,00158.jpg
Kvasir v2/normal/normal/fde68ca4-2c9f-4f81-9c7b-b3d161704013.jpg,normal,8,00159.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/3d47d74a-fcdf-469e-940b-cd6999a79556.jpg,dyed-resection-margins,5,00160.jpg
Kvasir v2/normal-pylorus/normal-pylorus/a9bbf556-3c88-498d-9b06-182901061d5b.jpg,normal-pylorus,6,00161.jpg
Kvasir v2/normal/normal/c617ed16-6d71-4704-b4b0-a23af95d7aef.jpg,normal,8,00162.jpg
Kvasir v2/normal-pylorus/normal-pylorus/d138882c-c344-4c63-9369-2de53bce1fb5.jpg,normal-pylorus,6,00163.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/fc79c489-b358-4368-b965-330615af73d4_00000056.jpg,ulcerative-colitis,4,00164.jpg
Kvasir v2/esophagitis/esophagitis/0db64783-db8d-4663-b448-04036c482069.jpg,esophagitis,7,00165.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/1e5b8c64-d45a-44ed-9293-d45037473f37.jpg,dyed-resection-margins,5,00166.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/22fa7fe0-155d-40e3-87ed-23fdc8689e0f.jpg,ulcerative-colitis,4,00167.jpg
Kvasir v2/normal-pylorus/normal-pylorus/0ea34f02-772b-4d0a-bcf7-096a9c52a906.jpg,normal-pylorus,6,00168.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/698f130b-41ff-414d-908c-8d8c0f82d4a8_00001279.jpg,ulcerative-colitis,4,00169.jpg
Kvasir v2/polyps/polyps/cf6d6e54-eb09-4457-a7e7-c5aaf1633c21.jpg,polyps,2,00170.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/6dd01c33-66b5-42ca-90a3-68812fdf7d8d.jpg,dyed-resection-margins,5,00171.jpg
Kvasir v2/esophagitis/esophagitis/74233815-f763-4c59-90b2-e2ce7b3d69e6.jpg,esophagitis,7,00172.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/db448b3d-9cc9-4c11-bb9a-33872f69a4fd.jpg,dyed-resection-margins,5,00173.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/12419dc9-8c4e-4d0a-8817-24cf81338fff.jpg,dyed-lifted-polyps,3,00174.jpg
Kvasir v2/normal-pylorus/normal-pylorus/d6df0145-3273-4889-a110-37d7243b95f5.jpg,normal-pylorus,6,00175.jpg
Kvasir v2/normal-pylorus/normal-pylorus/14064331-76de-4d18-945e-8f7c3bd682e5.jpg,normal-pylorus,6,00176.jpg
Kvasir v2/polyps/polyps/effa94cc-1875-401f-82be-dab99d38b30c.jpg,polyps,2,00177.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/c21b9133-1244-4882-879c-ca068d510a79.jpg,dyed-lifted-polyps,3,00178.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/341441d5-7067-440b-899b-bee8280876e6.jpg,dyed-resection-margins,5,00179.jpg
Kvasir v2/dyed-lifted-polyps/dyed-lifted-polyps/aa3978e4-6885-4919-88bc-bede64743e00.jpg,dyed-lifted-polyps,3,00180.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/67adc1dd-dbe4-46aa-86f9-0bebb1a4f5cd.jpg,dyed-resection-margins,5,00181.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/256ae4b0-4bb0-4617-8f48-20164cc6b681.jpg,dyed-resection-margins,5,00182.jpg
Kvasir v2/polyps/polyps/487b7da7-5820-408a-989b-f88d6b20886e.jpg,polyps,2,00183.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/8cdbd6d3-6855-4b23-8c03-cc94737fa7a2.jpg,dyed-resection-margins,5,00184.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/79292208-6ebb-4e62-907e-e69453301165.jpg,ulcerative-colitis,4,00185.jpg
Kvasir v2/normal-pylorus/normal-pylorus/d1b058f0-a415-4928-8180-68a2848f46c2.jpg,normal-pylorus,6,00186.jpg
Kvasir v2/normal-pylorus/normal-pylorus/9b986dbd-307c-4707-8e3e-b3165f0c35b8.jpg,normal-pylorus,6,00187.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/55fac2ce-22ed-4e69-bd0c-6e224b60dcf5.jpg,dyed-resection-margins,5,00188.jpg
Kvasir v2/normal-cecum/normal-cecum/27b3debd-8f4a-4c3a-aa94-68659ab4854e.jpg,normal-cecum,1,00189.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/013f51fa-caf3-4c31-adc5-af00eacf55c7.jpg,ulcerative-colitis,4,00190.jpg
Kvasir v2/ulcerative-colitis/ulcerative-colitis/4c891ec4-5d3a-41dd-9199-b28329919043.jpg,ulcerative-colitis,4,00191.jpg
Kvasir v2/dyed-resection-margins/dyed-resection-margins/4954f9f2-5ef7-4612-abd7-7ac95a6200c6.jpg,dyed-resection-margins,5,00192.jpg
